Stock,2020_D,2020_R,2021_D,2021_R,2022_D,2022_R,2023_D,2023_R,2024_D,2024_R
Arrowtooth flounder,50.4,0.3,147.5,2,82.8,14.3,81,0.6,90.7,0.8
Atka mackerel,-,-,2.9,0,0.5,-,0.1,-,0.1,-
Deep-water flatfish,0.2,-,1.2,-,2.4,-,7.2,-,0.3,0.1
Demersal shelf rockfish,0.1,0.6,9.4,12.3,9.2,8.4,30.4,30.6,12.6,14.8
Dusky rockfish,-,0.8,2.5,2.3,2.4,1.9,1.2,1.7,1.3,3.1
Flathead sole,0.1,-,18.1,2.8,7.5,1.3,10.7,0.3,38.7,0.3
Northern rockfish,-,-,3.4,1,0.4,0.8,2.6,0.2,0.8,0.1
Octopus,0,12,14.4,23.3,49.5,60.2,72.2,41.2,37,66
Other rockfish,0.4,0.1,7.4,0.4,45.4,1.2,18,0.7,1.9,0.3
Pacific Ocean perch,0,7.8,0.2,1.5,0.8,6.2,0,-,1.1,0.1
Rex sole,0.1,-,1.6,0,8.6,0.2,7.8,-,3,-
Rougheye and Blackspotted rockfish,0.1,0.2,2.4,0.8,0.3,0.3,0.7,0.8,0.9,0.1
Sablefish,5.5,24.4,64.1,64.5,104.5,17,42.5,34.9,23.1,0.4
Shallow-water flatfish,0.1,0,18.7,0.6,31.7,100.2,22.2,1.4,89.6,72.8
Shortraker rockfish,0.1,0,4.6,0.4,1.3,0.6,1.5,0.1,0.1,-
Skarks,14.5,0.3,162.2,0,68.2,0.2,71.6,-,13,0.2
Skates,12.1,4.2,508.4,106.6,692.5,217.8,660.3,188.3,326.2,137.7
Thornyheads,0,-,0.4,0.6,1.6,2.7,6.7,0.4,1.7,-
Total,99,55.5,1252,253.7,1260.5,492.9,1127.4,360.8,656.7,359.1
Walleye pollock,11.4,4.4,271.9,21.8,132.1,50.4,68.6,36,4.4,59.2
